2026-01-15 16:18:48.348 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:18:48.349 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:18:57.306 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-11 线口折弯板.SLDDRW
2026-01-15 16:18:57.309 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-11 线口折弯板.SLDDRW
2026-01-15 16:18:57.767 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-11 线口折弯板 - 图纸1
2026-01-15 16:19:02.534 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 4 个视图使用图纸比例
2026-01-15 16:19:02.536 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:19:02.537 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:19:04.756 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:19:05.278 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:19:05.290 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:19:26.592 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-12 下内圈.SLDDRW
2026-01-15 16:19:26.699 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-12 下内圈.SLDDRW
2026-01-15 16:19:51.572 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-12 下内圈 - 图纸1
2026-01-15 16:19:58.415 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 3 个视图使用图纸比例
2026-01-15 16:19:58.420 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:19:58.421 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:19:58.622 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:19:59.618 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:19:59.622 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:20:10.346 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-13 内锥斗.SLDDRW
2026-01-15 16:20:10.356 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-13 内锥斗.SLDDRW
2026-01-15 16:20:24.200 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-13 内锥斗 - 图纸1
2026-01-15 16:20:27.297 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 3 个视图使用图纸比例
2026-01-15 16:20:27.299 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:20:27.300 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:20:27.492 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:20:28.099 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.420 x 0.297
2026-01-15 16:20:28.136 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a3图纸格式.slddrt
2026-01-15 16:20:41.606 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-15 安装底板.SLDDRW
2026-01-15 16:20:41.637 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-15 安装底板.SLDDRW
2026-01-15 16:20:52.137 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-15 安装底板 - 图纸1
2026-01-15 16:20:54.778 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 2 个视图使用图纸比例
2026-01-15 16:20:54.780 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:20:54.781 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:20:54.906 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:20:55.523 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:20:55.524 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:21:03.311 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-16 封板.SLDDRW
2026-01-15 16:21:03.316 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-16 封板.SLDDRW
2026-01-15 16:21:15.198 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-16 封板 - 图纸1
2026-01-15 16:21:17.863 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 2 个视图使用图纸比例
2026-01-15 16:21:17.864 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:21:17.865 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:21:18.080 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:21:18.566 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
